id,name,type,abilities,moves,health,attack,defense,special-attack,special-defense,speed,height,weight,generation,shape,colour,bmi,base_stat,m/s,kEnergy
1,bulbasaur,"grass, poison","overgrow, chlorophyll","razor-wind, swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, sludge, skull-bash, amnesia, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, grass-whistle, bullet-seed, magical-leaf, natural-gift, worry-seed, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, work-up, grassy-terrain, confide, grassy-glide, tera-blast, trailblaze",45,49,49,65,65,45,7,69,1.0,quadruped,green,14.081632653061227,318,5.9948064,123.98507801850933
2,ivysaur,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, bullet-seed, magical-leaf, natural-gift, worry-seed, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, work-up, grassy-terrain, confide, grassy-glide, tera-blast, trailblaze",60,62,63,80,80,60,10,130,1.0,quadruped,green,13.0,405,7.9930752,415.28013249355774
3,venusaur,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, hyper-beam, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, earthquake, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, scary-face, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, bullet-seed, block, frenzy-plant, magical-leaf, natural-gift, worry-seed, poison-jab, seed-bomb, energy-ball, earth-power, giga-impact, rock-climb, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, bulldoze, work-up, petal-blizzard, grassy-terrain, confide, stomping-tantrum, grassy-glide, terrain-pulse, tera-blast, trailblaze",80,82,83,100,100,80,20,1000,1.0,quadruped,green,25.0,525,10.6574336,5679.044546920447
4,charmander,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, wing-attack, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, submission, counter, seismic-toss, strength, dragon-rage, fire-spin, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, weather-ball, air-cutter, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, natural-gift, fling, flare-blitz, dragon-pulse, dragon-rush, focus-blast, shadow-claw, fire-fang, captivate, hone-claws, flame-burst, flame-charge, round, echoed-voice, incinerate, acrobatics, inferno, fire-pledge, dragon-tail, work-up, confide, power-up-punch, breaking-swipe, tera-blast, temper-flare",39,52,43,60,50,65,6,85,1.0,upright,red,23.61111111111111,309,8.6591648,318.66982389262586
5,charmeleon,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, submission, counter, seismic-toss, strength, dragon-rage, fire-spin, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, weather-ball, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, natural-gift, fling, flare-blitz, dragon-pulse, dragon-rush, focus-blast, shadow-claw, fire-fang, captivate, hone-claws, flame-burst, flame-charge, round, echoed-voice, incinerate, acrobatics, inferno, fire-pledge, dragon-tail, work-up, confide, power-up-punch, breaking-swipe, tera-blast, temper-flare",58,64,58,80,65,80,11,190,1.0,upright,red,15.702479338842974,405,10.6574336,1079.018463914885
6,charizard,"fire, flying","blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, wing-attack, fly, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, hyper-beam, submission, counter, seismic-toss, strength, solar-beam, dragon-rage, fire-spin, earthquake, fissure, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, sandstorm, endure, false-swipe, swagger, fury-cutter, steel-wing, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, twister, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, blaze-kick, blast-burn, weather-ball, air-cutter, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, roost, natural-gift, tailwind, fling, flare-blitz, air-slash, dragon-pulse, dragon-rush, focus-blast, giga-impact, shadow-claw, fire-fang, defog, captivate, ominous-wind, hone-claws, flame-burst, flame-charge, round, echoed-voice, sky-drop, incinerate, acrobatics, inferno, fire-pledge, bulldoze, dragon-tail, work-up, heat-crash, hurricane, confide, mystical-fire, power-up-punch, brutal-swing, breaking-swipe, scale-shot, dual-wingbeat, scorching-sands, tera-blast, dragon-cheer, temper-flare",78,84,78,109,85,100,17,905,1.0,upright,red,31.314878892733567,534,13.321791999999999,8030.523929629694
7,squirtle,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, dig, toxic, confusion, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, mud-slap, foresight, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, follow-me, helping-hand, brick-break, yawn, refresh, secret-power, dive, mud-sport, weather-ball, rock-tomb, water-spout, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, aqua-tail, dragon-pulse, zen-headbutt, captivate, aqua-jet, round, scald, shell-smash, water-pledge, work-up, confide, power-up-punch, liquidation, life-dew, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water",44,48,65,50,64,43,5,90,1.0,upright,blue,36.0,314,5.728370559999999,147.66403172703616
8,wartortle,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, dig, toxic, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, mud-slap, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, helping-hand, brick-break, yawn, secret-power, dive, weather-ball, rock-tomb, water-spout, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, aqua-tail, dragon-pulse, zen-headbutt, captivate, aqua-jet, round, scald, shell-smash, water-pledge, work-up, confide, power-up-punch, liquidation, life-dew, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water",59,63,80,65,80,58,10,225,1.0,upright,blue,22.5,405,7.726639359999999,671.6357527443885
9,blastoise,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, roar, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, scary-face, mud-slap, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, crunch, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, helping-hand, brick-break, yawn, secret-power, dive, hydro-cannon, weather-ball, rock-tomb, water-spout, signal-beam, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, dark-pulse, aqua-tail, dragon-pulse, focus-blast, giga-impact, avalanche, zen-headbutt, flash-cannon, rock-climb, captivate, aqua-jet, smack-down, round, scald, shell-smash, water-pledge, bulldoze, dragon-tail, work-up, confide, power-up-punch, liquidation, body-press, life-dew, terrain-pulse, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water",79,83,100,85,105,78,16,855,1.0,upright,blue,33.39843749999999,530,10.39099776,4615.838672665894
10,caterpie,bug,"shield-dust, run-away","tackle, string-shot, snore, bug-bite, electroweb",45,30,35,20,20,45,3,29,1.0,armor,green,32.22222222222222,195,5.9948064,52.109670471547396
